Genome	DNA-1-S1-22_S63_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S1-22_S958_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S1_S67_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S1_S962_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S2-22_S64_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S2-22_S959_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S2_S68_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S2_S963_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S3-22_S65_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S3-22_S960_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S3_S69_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S3_S964_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S4-22_S66_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S4-22_S961_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S4_S70_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S4_S965_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S1_S71_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S1_S966_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S2_S72_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S2_S967_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S3_S73_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S3_S968_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S4_S74_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S4_S969_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S1_S75_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S1_S970_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S2_S76_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S2_S971_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S3_S77_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S3_S972_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S4_S78_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S4_S973_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S1_S79_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S1_S974_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S2_S80_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S2_S975_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S3_S81_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S3_S976_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S4_S82_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S4_S977_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S1_S83_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S1_S978_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S2_S84_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S2_S979_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S3_S85_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S3_S980_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S4_S86_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S4_S981_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S1_S87_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S1_S982_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S2_S88_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S2_S983_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S3_S89_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S3_S984_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S4_S90_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S4_S985_L000_R1_001.anqdpht.fastq.gz Trimmed Mean
DNA-4_bin_1_1	1.7992798	1.6172677	2.490687	2.2839036	0.38034567	0.34661344	0.5014449	0.44762933	0	0	0.89817345	0.83712023	0	0	0	0	0.7225624	0.6340362	0	0	0.6854502	0.64683294	2.1964304	2.0002158	0.93048066	0.87235564	0	0	0.8828648	0.8369602	10.121666	9.205619	0.16880818	0.14534073	0.57705426	0.50377214	0.7601289	0.69429374	0.25779602	0.22936162	0.14481094	0.13799071	0	0	0.6842675	0.6064036	0.6256204	0.5721865	0	0	0	0	1.7405908	1.5702755	0.27449557	0.24442871
DNA-4_bin_27_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12685022	0.11009758	0	0	1.0083652	0.9240751	0	0	0	0	0.9446556	0.87852633	0	0	2.4631484	2.2613254	0	0	0	0	0	0	0	0	0.23318294	0.20235117	0	0	0	0	0	0	0.07932468	0.07033982	0.4577323	0.42674288	0.1758516	0.16275169	0	0	0	0
DNA-4_bin_7_1	2.2294118	1.9867432	3.6734686	3.3147502	1.3716589	1.2584876	1.6807234	1.4622929	0	0	0.69694483	0.6274132	0	0	0	0	0.759634	0.69230646	0	0	0.6799702	0.58270043	1.9577498	1.742748	1.0629292	1.0222924	0	0	0.9234055	0.86067945	7.4131007	6.76981	0.24991232	0.24478903	1.0020725	0.88152826	0.6835367	0.5951376	0.104575016	0.10097162	1.6484872	1.5498921	0	0	0.90639395	0.8319088	0	0	0.12068204	0.11289066	0	0	1.3485543	1.2285959	0.10778461	0.07892168
DNA-6_bin_10_1	1.1643363	1.0573275	1.2708529	1.1653172	0.7434217	0.66657263	0.81503767	0.7224449	1.1497662	1.0393387	1.4283268	1.2999794	1.0487324	0.93020016	1.9930067	1.8001215	1.9059842	1.7317094	7.416597	6.7066855	0.94406843	0.84982294	2.4299078	2.2051735	6.748156	6.214926	1.6472312	1.4914832	9.022779	8.290753	9.516964	8.671298	1.9733708	1.829804	1.3589026	1.2489333	0.8057829	0.73292536	1.5346621	1.3756946	0.7835515	0.70558256	1.237591	1.1019831	1.025315	0.948441	11.243988	10.357072	2.3017662	2.0929813	2.1352444	1.9047735	1.5584704	1.3862996	1.1859641	1.0630381
DNA-6_bin_14_1	1.499825	1.3581569	3.4352067	3.13969	1.2565644	1.1171069	1.0044909	0.885048	1.384038	1.312159	1.0312471	0.9789258	1.2977228	1.1754713	2.5185413	2.2682695	1.2618423	1.1161945	7.0087523	6.2210107	1.5843787	1.4455812	4.3481016	3.91421	1.8856459	1.7637119	1.2639196	1.113781	0.98299384	0.89502424	2.7205274	2.396998	1.7968507	1.6799544	0.20065683	0.19427757	0.93423545	0.83696187	1.5806112	1.3624061	0.105541185	0.08131613	4.3207707	3.8765836	1.4673942	1.3667963	1.4487506	1.3503106	1.789624	1.66018	1.4017289	1.278506	1.168237	1.0672889	1.9660589	1.8194925
DNA-6_bin_18_1	0.2854417	0.26117417	0.5052454	0.490981	0.17561494	0.16247195	0.1309666	0.10497729	0	0	0.4666811	0.42846695	0	0	0	0	0.6106583	0.5560965	0.121611275	0.10421919	0.38146594	0.35616148	0.46101063	0.40692106	0.45996103	0.43334365	0.16570383	0.159755	0.30263475	0.27933374	0.36462164	0.33137104	0.21914937	0.2025595	0	0	0.6877372	0.60316044	0.34223458	0.30805597	0	0	0.38257656	0.3539684	1.6629975	1.5616276	0.30593047	0.2861566	0.23410662	0.21412903	0.15645365	0.13961078	0.53970337	0.47144136	0.28873459	0.261192
DNA-6_bin_19_1	0	0	0.1794724	0.16759236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16573432	0.14652231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3756907	2.1887531	0	0	0	0	0	0	0	0	0	0
DNA-6_bin_31_1	1.0453147	0.9289282	1.721981	1.5767963	0.7749791	0.66745245	0.7055931	0.635622	0.87524956	0.75997394	1.4646102	1.3836523	0.77633446	0.686842	1.5183824	1.4057374	1.7455723	1.5663188	3.6115055	3.21261	1.0361403	0.9371107	1.9264791	1.7598187	1.9610814	1.8101614	1.222901	1.0833726	1.1776142	1.0869294	1.9783975	1.793995	1.2947755	1.1713499	0.37623885	0.34782007	2.1195168	1.9737413	1.3019127	1.2137909	0	0	2.1941588	2.026383	4.7362523	4.3494873	1.2666298	1.1455208	0.88744086	0.77416676	1.0427619	0.8911925	1.6663905	1.4467638	1.5102521	1.3353302
DNA-6_bin_33_1	0.09672024	0.08547414	0.19311826	0.1954976	0	0	0	0	0.18069713	0.15158427	0.19983175	0.1751046	0.14847052	0.12659101	0.3492644	0.3344202	0.37908113	0.3507559	0.73781216	0.6801451	0.2704258	0.24715216	0.28231552	0.2600465	0.44039088	0.39999563	0.25345474	0.23042247	0.24714516	0.22322048	0.16680309	0.1447309	0.24819393	0.22488195	0	0	0.30018187	0.26921487	0.11625754	0.096601	0	0	0.4727578	0.43664715	0.8164907	0.7200593	0.16442664	0.13387634	0.37460712	0.33267128	0.19403377	0.1858387	0.19398302	0.17925227	0.17441271	0.15491544
DNA-6_bin_34_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9003325	0.8385326	0	0	0	0	0	0	0	0	0	0
DNA-6_bin_35_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1198986	1.9555086	0	0	0	0	0	0	0	0	0	0
DNA-6_bin_37_1	12.363299	11.307367	17.719902	16.367023	2.2433002	2.0679858	2.4431252	2.1977642	0	0	0.51677376	0.4780043	0	0	0	0	2.9660494	2.7212868	0	0	1.0550324	0.9745343	2.2050946	2.0164475	2.6276326	2.443829	0	0	0.22249058	0.21177891	0.5397477	0.4933653	0.9774867	0.8806278	1.0905789	1.0130103	0.66674405	0.61913353	0	0	24.80693	22.94367	0	0	0.29780698	0.2772653	0	0	0.3511391	0.30977505	0	0	0.49255842	0.45429122	0	0
DNA-6_bin_38_1	1.0867901	0.9919238	1.7824187	1.6195548	0.50963193	0.47922733	0.4673808	0.42002326	0	0	0.8852683	0.764623	0	0	0.16299573	0.1528851	1.3644568	1.2694838	0.77381444	0.6797112	0.44963095	0.39916193	1.2749212	1.1603547	1.4620459	1.3521255	0.4494229	0.40099427	0.3361925	0.30706418	1.8445354	1.685654	0.83282983	0.77290124	0.10975573	0.09041588	1.0071397	0.9089094	1.430797	1.3047086	0	0	1.7560267	1.6087073	2.7458239	2.4967535	1.1761589	1.0795186	0.20061071	0.17676681	0.23362981	0.20266491	0.95916575	0.86448956	1.4122813	1.2605672
DNA-6_bin_42_1	0	0	0.3780897	0.35837793	0.30311936	0.2734994	0.13859832	0.11893022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6190669	0.56021994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.280576	2.1174695	0	0	0	0	0	0	0	0	0	0
DNA-6_bin_44_1	7.392338	6.7136126	12.236029	11.183107	4.7246623	4.2564006	5.7650595	5.1304274	0	0	3.6477323	3.3396928	0	0	0	0	3.3797417	3.0828316	0	0	3.3178778	3.0379877	10.447679	9.568623	5.7641945	5.2437253	0	0	2.842456	2.594594	5.386642	4.9021063	2.6204278	2.3946123	5.42735	4.9379816	3.1491096	2.8686152	1.0767591	0.9667022	13.161281	12.01563	0	0	2.4188256	2.2200305	0.4634225	0.4189671	2.433764	2.14941	0	0	5.876774	5.2897162	1.0177091	0.9173731
DNA-6_bin_48_1	0	0	0	0	0	0	0	0	0.1193599	0.08973215	0	0	0.098020054	0.07997211	0.24311216	0.21555544	0	0	0	0	0.21945572	0.19741964	0	0	0	0	0	0	0.23938665	0.21900283	0	0	0	0	0.18427889	0.15943539	0	0	0	0	0	0	0	0	1.4379165	1.3174331	0	0	0.24198484	0.21174775	0	0	0	0	0	0
DNA-6_bin_5_1	12.727295	11.462684	19.91711	18.109064	2.384449	2.1593618	2.624531	2.341516	1.4597518	1.2584299	0.8623847	0.8047095	1.269848	1.1495609	2.4195595	2.1921306	6.538207	5.9252634	6.457954	5.785557	0.6861556	0.63983846	10.469824	9.607952	6.568289	6.0826964	1.6818938	1.5569661	0.53982365	0.4940308	10.796777	9.772037	3.858784	3.5395536	6.8219504	6.219281	0.8191557	0.7449699	2.5064662	2.3186004	5.370123	4.896845	14.464388	13.286402	1.4150277	1.2993546	3.28587	3.041124	1.5177778	1.3964638	0.8577167	0.75115985	3.3414915	3.0545976	6.561179	5.94224
DNA-8_bin_11_1	0.4584151	0.41095445	0.9071656	0.8190856	0.5230145	0.47720838	0.4192394	0.36352378	0.57974935	0.5037517	0.31722826	0.29166013	0.514026	0.45567018	1.0210315	0.95901877	0.56836265	0.53416353	2.7687976	2.504201	0.5541826	0.49634257	1.8200088	1.6699356	1.0956867	1.0156358	0.35854936	0.33314806	0.6744774	0.59677285	1.2990937	1.1679208	0.60558945	0.55977684	0.27623877	0.25394934	0.22208124	0.19956283	0.31744966	0.29909632	0.26074553	0.2369352	1.3245312	1.2327553	0.3541766	0.31886148	0.8662985	0.7769877	1.7340522	1.5650272	0.40540826	0.34627306	0.6989342	0.6466519	0.834183	0.7434965
DNA-8_bin_14	0.07441219	0	0.14302917	0.12598741	0.35826722	0.31885114	0.46051663	0.3979528	0	0	0	0	0	0	0	0	0.30835515	0.2847382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13827439	0.115955226	0	0	0	0	0.3632355	0.32145435	0	0	0	0	0	0	1.0932993	1.0208503	0	0	0.14992194	0.13303743	0	0
DNA-8_bin_19	0.15895511	0.1317814	0.29457715	0.26772723	0.68881977	0.64053565	0.79320145	0.7369947	2.0014656	1.8414655	0.43756902	0.3993861	1.8024147	1.6465064	3.4687383	3.242364	0.25866124	0.23689869	2.389955	2.1707735	0.302209	0.2915766	2.2093797	2.0131578	0.4517867	0.41879	0.36958554	0.34270987	0.22914176	0.22370948	0.8090509	0.7245318	0.5318429	0.49387872	0.11378793	0.09271876	0.1949817	0.16689119	0.63993907	0.5966667	0	0	0.4484593	0.4093596	0.27100265	0.23455808	0.6895065	0.65035164	1.6115211	1.4763238	0.9214881	0.8428517	0.27720293	0.24770764	1.0682836	0.9570535
DNA-8_bin_23_1	0	0	0	0	0.14136311	0.12707509	0.11615991	0.09333446	0.09544153	0.07289889	1.8449978	1.7075808	0.08540071	0.061990324	0.20787907	0.18194593	0.16319403	0.14494878	0.12289128	0.10198765	2.159878	1.9936259	3.9198575	3.6004324	0.73854893	0.68963933	0	0	1.0607207	0.9578416	0.6460337	0.5627175	0.6799723	0.5952414	0	0	1.2880523	1.2152224	2.063384	1.8513509	0	0	0	0	2.5432572	2.3226557	1.2862881	1.1857284	2.422334	2.1591446	0.695563	0.5986143	0.78223777	0.69764197	3.8129337	3.4007137
DNA-8_bin_28	1.1258436	1.0153142	2.2090685	2.0379558	2.3746703	2.155798	2.2651553	2.0146897	0.074042454	0	1.4018906	1.2663918	0	0	0.17794347	0.15724298	0.7129984	0.6496747	0.07840324	0	1.0763088	0.98215777	5.606658	5.1715903	0.8659759	0.7610606	0	0	0.56833917	0.51997536	2.3236597	2.1485684	0.82022095	0.7433945	0.48964676	0.44955996	0.6411641	0.5795524	0.87220794	0.79814285	1.0270034	0.91701174	0	0	0.32419926	0.2963935	0.4561988	0.4159852	1.3177825	1.1932696	0	0	1.0297515	0.9294625	0.642378	0.5554569
DNA-8_bin_29	0.21791452	0.19304365	0.62688446	0.5625351	0.34620205	0.30856487	0.34355298	0.30523103	0.44943184	0.40034238	0.38915104	0.363411	0.3902905	0.35570252	0.81785727	0.7504176	0.46831152	0.43544012	0.8276545	0.7300887	0.62999606	0.5893457	2.891844	2.6470406	1.004246	0.9305103	0.17663246	0.14880502	0.41397715	0.38201833	1.3642867	1.2251815	0.7855088	0.7219537	0	0	0.29902747	0.26675895	0.5512646	0.5076261	0.11238319	0.09384119	0.4709859	0.41803446	0.6814269	0.6183372	0.7027878	0.6396333	2.1997602	2.0167785	0.26926056	0.24096811	0.4734293	0.41768628	1.3209854	1.2097003
DNA-8_bin_30_1	0.8881638	0.78753144	2.3702242	2.1850483	1.0905435	1.0653759	0.4363752	0.37612388	2.3521848	2.1145875	1.9313093	1.8325546	2.0852315	1.938769	4.0568976	3.7533107	1.6086044	1.5267584	2.5016742	2.261537	1.9550072	1.8174882	5.4577045	5.026394	2.5629556	2.440055	1.6664599	1.4937795	1.4737022	1.3591332	2.0724528	1.8969967	2.0512853	1.8773801	0.28471044	0.25610828	1.3567609	1.2478604	1.1291792	1.042562	0	0	1.4930457	1.3770086	2.2944615	2.0598655	1.7921821	1.6563727	4.3500624	4.003391	2.5171325	2.300708	1.1535096	1.062118	2.8543468	2.529173
DNA-8_bin_35_1	0.6235146	0.5549642	1.0207686	0.9186301	0.69153494	0.61906743	0.6444315	0.5835393	0.85639125	0.7837476	1.4510906	1.3472512	0.7850524	0.6905205	1.5081663	1.399196	0.88439775	0.8252617	3.0672088	2.7665062	1.5878305	1.4545395	2.6159074	2.4131505	1.4987128	1.4006953	0.661742	0.5826107	1.0790591	0.9741104	1.1520007	1.0612952	1.0702372	1.0101497	0.11703265	0.10503408	0.94890976	0.8737454	1.1893677	1.1046963	0	0	1.501189	1.3755773	2.0203445	1.8866612	1.0907953	1.0049788	1.5979761	1.4471492	0.7689136	0.7132543	1.1240383	1.0048518	2.4308124	2.1901698
DNA-8_bin_39_1	1.0258734	0.9786235	2.0067873	1.9010034	1.0886029	1.0803227	1.0099837	0.9738027	3.9034295	3.6847463	1.2251308	1.1291562	3.479875	3.189942	6.544211	6.279021	1.7921499	1.7761129	3.5733736	3.3540604	2.7703815	2.6168718	5.344158	5.0754046	5.084749	4.831901	1.3126281	1.1890584	3.8779867	3.6109433	4.1738486	3.7779071	3.930277	3.8165755	0.7688274	0.6811601	1.3466933	1.1695328	2.335135	2.130042	0.5639789	0.516473	1.3178636	1.2141141	1.9065038	1.8513589	2.8263283	2.742791	7.755951	7.367596	4.5296893	4.1835785	2.560719	2.2614748	3.0293689	2.7976615
DNA-8_bin_7_1	0.12612112	0.104666166	0.29878253	0.28353244	0.36681825	0.32476747	0.38230598	0.33446622	0.63035405	0.54554296	0.80342925	0.73628724	0.5605524	0.48707452	1.0892699	0.997975	0.20428029	0.17894381	2.2352848	2.0067441	1.4213306	1.3426089	2.3250241	2.122139	0.8244801	0.7580148	0.1988798	0.17664237	0.4760266	0.43384692	0.8050064	0.72205806	1.0771854	0.97986346	0	0	0.34302813	0.30455932	0.5253095	0.46997553	0	0	0.3151627	0.28134647	0.37787038	0.34007403	0.5070505	0.4749884	2.3734589	2.1281297	0.80334246	0.7331667	0.43215603	0.37898865	1.0380386	0.9211595
bcn_bin_10	0.42903578	0.3730501	0.6224184	0.57363456	0.5946971	0.546973	0.6475435	0.5506222	0.97204053	0.9047309	0.64662814	0.5630823	0.8813996	0.7970832	1.7402383	1.5617378	0.3666631	0.3348354	1.2260965	1.1037306	0.4563185	0.42684725	2.5627234	2.3081102	0.4556165	0.38102075	0.30031937	0.2770144	0.35532117	0.32726344	0.6569075	0.58515453	0.3831172	0.35142484	0.1004071	0.07707799	0.22599994	0.19554421	0.6256672	0.5563808	0.1320197	0.101791985	0.42712975	0.37049988	0.18250741	0.16373225	0.6371698	0.56882566	1.5662249	1.4323851	0.52809393	0.47602814	0.41349316	0.35440746	0.8467718	0.75332785
bcn_bin_100_1	0	0	0	0	0.066025965	0.05987813	0.10674887	0.09110719	0.49329814	0.4553759	0	0	0.43666264	0.4112654	0.9113428	0.82329047	0	0	0.3520037	0.30444607	0	0	0.09866807	0.08442845	0.08235568	0	0	0	0	0	0	0	0	0	0.07527544	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38645107	0.3457074	0.3487079	0.30274707	0	0	0	0
bcn_bin_103_1	0	0	0.59048617	0.5362599	0.08510695	0.07404558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23800422	0.20578866	0	0	0.45242357	0.401059	0	0	0.10093218	0.09105371	0.14337136	0.1333438	0	0	0	0	0.30180785	0.26854387	0	0	0	0	0	0	0	0	0	0	0.18822017	0.16231363	0	0
bcn_bin_105_1	0	0	0	0	0	0	0	0	0	0	0.21870704	0.19652426	0	0	0.14325593	0.11899296	0.25779107	0.2390495	0.5256447	0.48469642	0.37867084	0.3642927	0	0	0.1774521	0.16635312	0.20884383	0.19204894	0.2672574	0.23260678	0	0	0.2247128	0.19931212	0	0	0.33882666	0.3154905	0.19042364	0.16576147	0	0	0.0877122	0.08710582	0.9239163	0.81476307	0	0	0.1789112	0.15285578	0.28061983	0.24732977	0.17624672	0.15054952	0.0741656	0
bcn_bin_106_1	0.42887017	0.3732087	1.8706815	1.6817404	0	0	0	0	0	0	0	0	0	0	0	0	0.83206236	0.7388711	0	0	0	0	0.09689811	0.09113621	3.2673533	2.9911783	0	0	0	0	0.74631006	0.67636925	0.5393882	0.4784363	0	0	0	0	0	0	0.78616893	0.69633234	0	0	0	0	0	0	0.12293031	0.10772388	0	0	0	0	0	0
bcn_bin_110_1	5.4754844	4.900827	8.502408	7.8354387	0.60796654	0.55147254	0.7649094	0.66617566	0.058203056	0	0.8490185	0.7916953	0	0	0.16519544	0.14975566	3.7963748	3.4772506	0.17720789	0.17275363	0.83867735	0.7620422	2.5708773	2.3354747	3.4153762	3.0610025	0.2880901	0.25659123	0.94991344	0.87407887	5.7455564	5.2564106	1.1702007	1.0621741	1.4990923	1.4031007	1.821936	1.6969973	0.7554584	0.71043146	0.9262955	0.8460921	1.0879776	1.0038722	2.7851353	2.531814	1.7425845	1.613123	0.22954354	0.20320609	0	0	4.993964	4.6506314	1.2074926	1.0941586
bcn_bin_114	1.1675552	1.0913891	2.6699262	2.444422	0.76398546	0.69001895	0.6816718	0.58567744	0	0	0.29039556	0.264235	0	0	0	0	0.3330291	0.30307567	0	0	0.09288179	0.08780876	2.9450178	2.680345	0.7181526	0.6551133	0	0	0	0	0.69666684	0.61722684	0.18834831	0.16631016	0.5609063	0.50164235	0.26972538	0.25025845	0	0	1.5531465	1.427848	0	0	0.21796994	0.19527164	0	0	0	0	0	0	0.21403863	0.18836479	0	0
bcn_bin_115	0.34604663	0.31092647	0.5534189	0.48949426	0.21892603	0.19079319	0.22008102	0.18944107	0	0	0.19625549	0.18129128	0	0	0.14428963	0.12468443	0.29275608	0.26928917	0.42478967	0.38794202	0.18456088	0.16954677	0.6280214	0.55905837	0.4711574	0.42303756	0.12960596	0.12380357	0.11922854	0.096268535	0.72744405	0.6402796	0.25028965	0.2245402	0.15714812	0.14195397	0.1433282	0.123908736	0.20907335	0.19063206	0	0	0.62986475	0.56112665	0.517461	0.4816307	0.24652594	0.22551623	0.21224421	0.20390372	0	0	0.27854654	0.24714015	0.3291774	0.30143347
bcn_bin_116	0.10425789	0.08247137	0.28705776	0.25989595	0.15984467	0.13424972	0.1327572	0.11376606	0.9472048	0.84670246	0.487796	0.45626378	0.8792647	0.77586615	1.7319995	1.5199525	0.62563616	0.5516618	1.4087412	1.2567661	0.35157686	0.3292372	0.49733505	0.4425528	1.1242539	1.0467193	0.41913202	0.36331844	0.19247814	0.17010948	0	0	1.3878096	1.2522167	0	0	0.3980933	0.34497997	0.26341522	0.2446263	0	0	0.3969007	0.36347908	0.87190807	0.76910424	0.18301785	0.15386394	1.6032108	1.4253724	0.6159875	0.52930194	0.17620929	0.16016534	0.4412581	0.3771964
bcn_bin_123	0.0809464	0	0.21651715	0.19896413	0.09889891	0.077487946	0	0	0	0	0.115620345	0.087480105	0	0	0.106116205	0.098414406	0.20587575	0.17226903	0.44667783	0.39904264	0	0	0.40056747	0.368664	0.26998797	0.24259739	0.23177011	0.20837006	0	0	0.27634197	0.24563123	0.18638958	0.16790412	0	0	0.13805404	0.11309125	0.25841764	0.22588123	0	0	0.44646862	0.4191635	0.4321829	0.3813676	0.19366503	0.1798682	0.15949716	0.13500874	0.2232319	0.20392366	0.17372386	0.16101585	0.29383332	0.24889413
bcn_bin_124	0.3781876	0.32584757	0.73307633	0.6721729	0.5466371	0.5011345	0.505726	0.4344023	1.0068809	0.8906017	1.0220046	0.93011343	0.9004004	0.80676484	1.7547547	1.5937892	0.749078	0.67002976	1.0206405	0.9332152	1.1756719	1.0683852	3.0187376	2.760287	1.3177538	1.2316389	0.41785058	0.38169566	0.79124105	0.7167861	1.033248	0.96073866	1.068174	0.9663954	0.10530104	0.090331055	0.6564058	0.5868256	1.0276988	0.9277173	0	0	0.5512014	0.4936463	1.0905002	1.0029823	1.074021	0.98261523	2.2343178	1.9765311	0.99665403	0.8776551	0.7674018	0.6833392	1.8457543	1.6572584
bcn_bin_125_1	0.10793019	0.080508046	0.25524476	0.22047444	0.27667028	0.25454077	0.17136852	0.15267949	0.5036173	0.45312008	0.47723284	0.4410061	0.45904914	0.42022178	0.93863547	0.85487926	0.36628884	0.34322572	3.1754613	2.9446933	0.36263463	0.30194628	0.73204774	0.67958236	0.4436369	0.39675736	0.35057786	0.31223276	0.21521202	0.20086369	0.28832582	0.2396267	0.6464608	0.6075325	0	0	0.32006246	0.30605263	0.43852225	0.42114425	0	0	1.2492371	1.1350933	0.5722688	0.5053359	0.41056934	0.3744292	0.37406132	0.31733868	0.38480866	0.30895597	0.20174249	0.17979969	0.47231445	0.42007637
bcn_bin_126	0.17036541	0.14139943	0.3872466	0.35453552	0.10770724	0.08692454	0	0	0.59242404	0.5331317	0.35315278	0.3240124	0.53306293	0.47424144	1.0909599	0.9914071	0.34240463	0.30748966	5.9789004	5.444189	0.37279516	0.34190762	0.34750435	0.3191984	0.7025844	0.63952875	0.91819155	0.8300172	0.19373085	0.16468811	0	0	0.90943825	0.8264986	0	0	0.31777993	0.28609252	0.3523586	0.31487042	0	0	0.9656189	0.8945909	0.662898	0.5779889	0.1346597	0.10896498	0.20225193	0.17940782	0.6919111	0.596475	0.16682816	0.14035562	0.39964843	0.37670895
bcn_bin_130_1	0	0	0.115895234	0.101935245	0	0	0	0	0.18096304	0.15351552	0.16605651	0.13691014	0.15839429	0.14785072	0.33631384	0.31863084	0.20150761	0.18057138	0.8137842	0.75932467	0.2965565	0.27220437	0.30602244	0.2801282	0.5863663	0.54174405	0.10593383	0.08077962	0.16450533	0.14180657	0	0	0.4278944	0.39730978	0	0	0.2799035	0.24558085	0	0	0	0	0.30698824	0.27788734	0.5206618	0.50569475	0	0	0.6954014	0.6295727	0.15495057	0.123749	0.07522719	0	0	0
bcn_bin_131_1	0.8302785	0.73937696	1.1913147	1.1095561	0.22439687	0.20773679	0.28124124	0.24783614	0	0	0.24877103	0.22284818	0	0	0	0	0.5981991	0.5422162	0.18182613	0.16544089	0.38346705	0.35401216	0.58737475	0.5212723	0.7164519	0.6781413	0	0	0.42182708	0.38952708	1.2181194	1.1082321	0.14991097	0.12783334	0.34846026	0.31197894	0.4306183	0.3903258	0	0	0.2833421	0.25030467	0.34008005	0.30998412	0.4646526	0.41189784	0.21737652	0.19584928	0	0	0	0	0.9875069	0.8927497	0.20831299	0.18859565
